User,Date,Tweet,Permalink,Retweet count,Likes count,Tweet value
World Health Organization (WHO),11/3/2020 16:26:53,"🚨 BREAKING 🚨

""We have therefore made the assessment that #COVID19 can be characterized as a pandemic""-@DrTedros #coronavirus https://t.co/JqdsM2051A",https://www.twitter.com/user/status/1237777021742338049,58573,59711,2578.01
World Health Organization (WHO),11/3/2020 12:48:13,"These are 7 simple steps to protect yourself and others from #COVID19.

 👉 https://t.co/RU2gRs6jmc #coronavirus https://t.co/TNAw5YrP0u",https://www.twitter.com/user/status/1237721991471382528,34412,40650,14179.07
World Health Organization (WHO),30/1/2020 19:44:02,"@DrTedros @WHOWPRO @WHOSEARO @pahowho @WHO_Europe @WHOEMRO @WHOAFRO 🚨BREAKING🚨

""For all of these reasons, I am declaring a public health emergency of international concern over the global outbreak of #2019nCoV.""-@DrTedros",https://www.twitter.com/user/status/1222968733829865477,17264,13576,2148.35
World Health Organization (WHO),16/3/2020 15:57:30,"""We have a simple message for all countries:
test
test
test.

Test every suspected #COVID19 case. 

If they test positive, isolate them &amp; find out who they have been in close contact with up to 2 days before they developed symptoms &amp; test those people too""-@DrTedros #coronavirus",https://www.twitter.com/user/status/1239581568101945348,16788,23407,2148.34
World Health Organization (WHO),13/3/2020 9:59:16,"There are simple things we each must do to protect ourselves from #COVID19, including 👐 washing with 🧼 &amp; 💦 or alcohol-based rub.
WHO is launching the #SafeHands Challenge to promote the power of clean 👐 to fight #coronavirus.
Join the challenge &amp; share your 👐 washing video! https://t.co/l7MDw1mwDl",https://www.twitter.com/user/status/1238404251933704193,14172,21065,12890.05
World Health Organization (WHO),11/3/2020 16:27:19,"""Pandemic is not a word to use lightly or carelessly. It is a word that, if misused, can cause unreasonable fear, or unjustified acceptance that the fight is over, leading to unnecessary suffering and death""-@DrTedros #COVID19 #coronavirus",https://www.twitter.com/user/status/1237777130773151754,12565,29644,2148.34
World Health Organization (WHO),11/2/2020 15:09:38,"@DrTedros 🚨 BREAKING 🚨

""We now have a name for the #2019nCoV disease: 

COVID-19. 

I’ll spell it: C-O-V-I-D hyphen one nine – COVID-19""

-@DrTedros #COVID19 https://t.co/Kh0wx2qfzk",https://www.twitter.com/user/status/1227248333871173632,9067,8714,2578.02
World Health Organization (WHO),16/3/2020 16:00:30,"""Once again, our key message is: 
test,
test,
test.

This is a serious disease. Although the evidence we have suggests that those over 60 are at highest risk, young people, including children, have died""-@DrTedros #COVID19 #coronavirus",https://www.twitter.com/user/status/1239582322044874752,9058,11622,2148.34
World Health Organization (WHO),11/3/2020 16:34:16,"""Let me summarize it in 4⃣ key areas.

1⃣ Prepare and be ready.

2⃣ Detect, protect and treat.

3⃣ Reduce transmission.

4⃣ Innovate and learn""-@DrTedros #COVID19 #coronavirus",https://www.twitter.com/user/status/1237778878761926661,8671,18590,2148.34
World Health Organization (WHO),30/1/2020 19:37:28,LIVE: Press conference on the Emergency Committee meeting on #2019nCoV https://t.co/hTQam7RWc9,https://www.twitter.com/user/status/1222967082733559808,8605,8571,11815.90
